Order ID,gender,age,payment_method,invoice_date
403-3763475-2237125,Male,30,Cash,25-03-2021
405-1492294-0323520,Female,66,Credit Card,08-09-2022
403-1162895-2484367,Male,22,Cash,18-02-2022
171-6833843-5473114,Male,53,Cash,22-04-2021
403-1477057-8253913,Female,52,Cash,15-10-2022
408-2114413-6089906,Male,26,Cash,07-04-2022
405-1879750-2639521,Male,66,Cash,07-06-2022
406-5727754-5302723,Male,65,Debit Card,22-01-2023
405-0901744-8270705,Female,43,Cash,22-08-2022
405-9112089-3379536,Female,59,Debit Card,03-10-2021
408-6357132-2310703,Female,30,Debit Card,29-07-2021
406-5334922-9670748,Female,25,Debit Card,16-12-2022
402-8519791-3706738,Female,29,Debit Card,03-06-2021
408-1830318-0357940,Female,19,Debit Card,17-12-2021
406-5103760-7326749,Male,62,Credit Card,31-12-2022
402-7841951-1872363,Male,39,Cash,09-08-2022
408-7698765-2294756,Female,33,Cash,31-07-2022
404-1856281-9996319,Female,26,Debit Card,04-05-2021
406-5406738-7113145,Male,43,Credit Card,25-05-2022
405-5257740-5301158,Female,40,Debit Card,23-12-2022
405-2072502-4089911,Male,55,Credit Card,24-01-2023
405-0882561-5952340,Female,24,Credit Card,14-09-2021
403-7266170-1163500,Male,24,Cash,04-02-2022
405-8114272-1687512,Female,30,Credit Card,06-01-2022
171-6138639-1478731,Male,34,Credit Card,01-02-2022
405-4059216-4541150,Female,64,Cash,26-10-2022
405-1152015-7333945,Female,57,Cash,21-09-2022
406-0177436-6731556,Male,18,Credit Card,12-12-2021
406-0715107-8168308,Female,26,Cash,21-08-2021
403-0104882-7373900,Female,19,Debit Card,08-10-2021
405-3002282-6797102,Female,22,Cash,22-11-2021
407-8466904-3461908,Male,48,Cash,19-03-2022
171-3305587-5364338,Female,56,Cash,19-10-2022
406-8961316-8137943,Male,35,Cash,12-01-2022
171-2813040-8296320,Female,60,Debit Card,07-06-2021
408-9845791-1393151,Female,32,Credit Card,15-01-2023
402-4277204-2348328,Male,27,Credit Card,11-11-2021
171-3049339-2085136,Female,56,Credit Card,21-09-2022
405-9928526-2470747,Male,35,Debit Card,30-05-2021
405-4908072-0260360,Female,68,Credit Card,23-12-2021
406-3984186-5973150,Female,64,Cash,30-04-2022
171-8635309-7508346,Female,60,Cash,07-06-2021
171-0293372-4913973,Male,64,Debit Card,21-02-2022
402-8288606-4313118,Female,41,Debit Card,26-08-2021
402-8746990-6412346,Male,30,Cash,15-12-2021
402-0294212-5431551,Male,40,Debit Card,20-02-2021
406-1530134-2105912,Female,29,Cash,08-10-2021
403-5222550-4437140,Male,25,Cash,01-08-2022
408-1482435-5202714,Female,60,Cash,09-09-2021
403-6442534-2769112,Female,42,Cash,25-10-2021
408-3113070-0750756,Male,54,Cash,14-12-2021
404-7796841-1880317,Female,50,Cash,20-06-2021
405-2142542-0941949,Male,54,Debit Card,07-04-2021
405-0286717-7761132,Female,45,Cash,05-12-2021
406-9021273-9221106,Female,40,Credit Card,25-05-2021
404-5381335-4577925,Male,24,Credit Card,12-04-2022
171-0131752-2560336,Male,40,Cash,16-12-2021
407-4235449-1353916,Female,32,Credit Card,21-02-2021
171-8061614-5688327,Female,28,Cash,26-10-2021
407-8248783-4261958,Female,22,Cash,18-12-2022
404-6513062-3876305,Female,21,Credit Card,19-09-2022
406-7779874-9136347,Female,31,Credit Card,01-02-2023
406-9638549-1733961,Female,61,Credit Card,05-10-2022
407-8801185-0134713,Female,67,Cash,28-11-2021
171-3625443-6505905,Male,52,Cash,03-08-2021
402-8078642-8565124,Male,44,Credit Card,12-10-2022
402-2820441-9623566,Female,48,Credit Card,28-09-2022
171-4312987-5366767,Female,53,Cash,12-07-2021
403-5189998-9343503,Male,27,Cash,03-07-2021
407-9863928-5979501,Female,28,Cash,26-03-2022
171-4644162-9093116,Female,43,Credit Card,17-05-2022
406-0974406-3179521,Male,54,Credit Card,11-04-2022
402-0048138-1845122,Male,41,Credit Card,22-10-2021
407-6283946-7749133,Female,59,Cash,20-12-2021
407-0542879-1795554,Female,32,Credit Card,17-03-2022
406-0218328-1773963,Female,41,Credit Card,23-06-2022
407-3742007-3242711,Female,30,Debit Card,19-06-2021
405-3067317-3360344,Male,22,Debit Card,30-08-2022
406-5648244-8317954,Female,51,Cash,20-11-2021
171-3460653-0171519,Female,23,Credit Card,31-07-2021
404-5337874-2284337,Male,40,Cash,20-02-2022
405-2660443-4165145,Male,37,Cash,09-02-2023
402-3329522-2367566,Female,24,Cash,24-03-2021
406-3078054-1755513,Male,22,Credit Card,25-08-2022
171-4647176-6456305,Female,61,Cash,21-10-2021
408-5011528-8276347,Female,25,Credit Card,28-05-2022
407-4097885-3129958,Female,66,Credit Card,05-03-2022
171-1224053-5752314,Female,59,Cash,05-10-2021
406-2849582-6531553,Male,38,Cash,16-04-2021
407-5875767-6399551,Male,34,Debit Card,26-02-2023
171-6336729-6763536,Female,26,Cash,20-03-2021
404-3907920-5281963,Female,59,Cash,15-05-2022
408-7310428-6047538,Female,53,Debit Card,31-01-2023
403-2608092-6065935,Male,23,Debit Card,02-10-2021
404-9760385-9109154,Female,23,Credit Card,03-08-2022
405-0732969-3941948,Female,66,Debit Card,28-03-2021
402-2720308-2560327,Female,56,Cash,21-11-2022
402-0589123-6183541,Female,38,Credit Card,12-02-2021
408-3874942-9917143,Male,28,Cash,03-04-2021
402-1706149-0949104,Female,44,Cash,03-07-2022
407-1672316-3245939,Female,26,Cash,14-02-2021
405-1832646-7988329,Female,41,Credit Card,15-07-2022
408-9692204-9817146,Male,50,Cash,12-07-2021
402-9339129-6219537,Female,23,Cash,19-05-2022
405-3036350-8089120,Female,31,Cash,13-02-2023
404-6680046-0839536,Male,26,Credit Card,27-11-2022
406-2966654-4672325,Female,56,Cash,02-03-2021
403-4845285-4565113,Female,34,Cash,16-10-2021
171-4496851-5319548,Female,29,Cash,04-11-2021
408-3416118-1167564,Female,20,Credit Card,11-01-2023
406-1590113-9193914,Female,54,Credit Card,08-06-2022
404-0363929-8015528,Male,40,Debit Card,24-05-2021
407-7173744-5333154,Male,40,Cash,18-01-2021
405-6880044-2861120,Male,21,Cash,22-07-2021
403-4337144-0984323,Female,32,Cash,25-09-2022
171-1851948-5476361,Male,47,Credit Card,10-09-2021
171-5810429-4493110,Female,41,Cash,16-01-2022
171-1068229-1581965,Male,33,Cash,13-11-2022
402-2105140-3584364,Female,67,Credit Card,14-03-2021
403-3561336-3563535,Male,37,Cash,23-07-2022
402-9532672-5385917,Female,38,Cash,24-06-2021
408-4547464-4180323,Male,28,Credit Card,30-01-2021
402-2211107-5096323,Female,38,Credit Card,17-04-2022
403-9412025-7537140,Female,56,Credit Card,23-02-2023
403-5456917-5571511,Male,25,Debit Card,05-07-2021
171-8452330-4756317,Male,66,Cash,31-08-2021
171-4350114-4299568,Female,37,Credit Card,09-09-2022
405-8692900-3888310,Female,19,Cash,04-11-2021
402-6750101-3923558,Female,53,Cash,30-06-2022
403-5725327-6264327,Female,69,Cash,24-07-2021
403-5209693-1173944,Male,69,Cash,15-04-2022
403-8255889-7526765,Female,31,Debit Card,25-09-2021
407-3554912-7244363,Male,39,Cash,24-08-2021
407-4737202-9096304,Male,53,Cash,26-01-2021
171-2842936-5423534,Male,26,Cash,05-02-2022
407-4936046-5852304,Male,63,Cash,09-12-2022
402-9580874-3525948,Female,34,Cash,14-02-2021
404-7426070-1355530,Male,25,Debit Card,17-07-2022
406-4878137-1126707,Female,20,Cash,03-01-2021
171-3505516-3505949,Female,18,Debit Card,22-09-2022
406-6199849-7523514,Male,53,Credit Card,27-06-2021
406-6180074-2350757,Male,46,Cash,03-02-2023
406-2403215-8361103,Female,34,Credit Card,29-07-2021
404-6578109-5618751,Female,61,Cash,08-12-2022
407-2307966-4961113,Female,38,Credit Card,11-08-2022
404-5539778-0029904,Female,67,Cash,13-09-2021
171-6222676-0740318,Male,33,Credit Card,27-05-2022
403-2166075-2254703,Female,63,Debit Card,07-12-2022
407-5766340-7411567,Female,21,Debit Card,05-01-2022
404-0634392-1837110,Female,41,Debit Card,05-04-2022
408-2759943-9849959,Female,48,Credit Card,10-01-2022
403-5977671-8855508,Male,27,Debit Card,30-01-2022
408-9321153-0591557,Female,22,Credit Card,21-12-2022
404-0696150-3898703,Female,54,Credit Card,24-02-2021
406-7586136-6520337,Female,51,Cash,19-07-2022
407-6146457-8788352,Female,29,Debit Card,15-01-2023
404-8514200-3544346,Female,44,Credit Card,12-01-2023
404-7452877-2137949,Female,20,Credit Card,05-11-2022
402-2703790-2816329,Female,59,Cash,23-07-2021
407-1515930-8661921,Female,23,Credit Card,30-06-2022
405-9144614-1601126,Female,25,Credit Card,01-11-2022
407-0994909-4122733,Male,63,Cash,27-10-2022
402-7042386-5486768,Male,21,Debit Card,21-08-2022
403-7652993-1507525,Female,56,Credit Card,13-03-2021
407-3847456-6656309,Male,39,Credit Card,04-08-2022
171-7623384-8040337,Male,50,Credit Card,01-04-2021
171-4607096-6413920,Female,54,Debit Card,08-08-2021
404-6783988-2006729,Male,27,Credit Card,28-06-2021
404-6975277-1927553,Male,56,Credit Card,25-01-2021
402-5586272-3646748,Female,53,Cash,22-11-2021
171-6655820-6440356,Female,62,Credit Card,13-11-2022
171-1584788-8864335,Female,42,Credit Card,12-08-2022
402-0150402-0900371,Female,68,Credit Card,18-09-2022
408-6791822-5493964,Male,27,Cash,08-06-2021
405-0483874-0889137,Male,39,Cash,30-08-2021
407-5600921-2143569,Male,44,Debit Card,19-06-2022
404-1607808-0769930,Female,52,Debit Card,15-12-2022
407-5124083-2725136,Female,19,Cash,29-12-2021
407-4766116-5412325,Female,68,Credit Card,19-06-2022
402-6885004-6990731,Male,22,Cash,16-06-2021
402-2207276-9869933,Male,61,Cash,07-02-2021
407-9494293-9423561,Male,23,Credit Card,17-01-2023
171-6867266-8495534,Male,34,Debit Card,20-01-2022
408-3475592-6193128,Female,33,Debit Card,31-07-2022
171-1987024-2709164,Female,60,Credit Card,30-09-2021
406-1522425-5387565,Female,24,Debit Card,06-04-2022
171-3270734-5045130,Male,53,Debit Card,14-11-2022
408-4101226-7217932,Male,22,Credit Card,24-02-2021
171-5719664-5449151,Male,50,Cash,25-05-2021
403-9400764-4029123,Male,49,Credit Card,22-03-2021
406-8413944-2634744,Male,31,Debit Card,22-12-2022
406-8271099-5133911,Male,29,Cash,07-07-2021
405-3441326-1516368,Female,52,Credit Card,18-09-2021
408-8009772-6580317,Female,67,Cash,18-02-2022
402-4774686-7773937,Female,50,Cash,13-06-2021
402-2860689-5652319,Female,58,Cash,30-05-2021
406-6386989-1689108,Female,50,Debit Card,26-03-2021
408-9720884-9553122,Female,68,Credit Card,27-07-2022
408-6428766-2839536,Female,59,Credit Card,06-04-2022
408-8641795-6914711,Female,66,Cash,04-02-2022
402-9475978-1434754,Male,69,Cash,26-06-2022
407-5776821-9327552,Male,27,Cash,25-07-2022
171-6845071-0336346,Female,52,Credit Card,19-09-2021
404-7491342-1035558,Female,27,Cash,10-10-2022
171-6783343-9758701,Female,43,Credit Card,29-03-2022
402-0043314-1059527,Male,36,Cash,09-07-2021
406-6586654-6641140,Female,19,Cash,25-01-2022
405-6120626-0941135,Male,21,Cash,14-12-2021
408-9255314-3102740,Male,20,Cash,04-09-2022
408-3436456-9893130,Female,23,Debit Card,14-08-2022
408-3870331-6287517,Female,52,Cash,03-02-2022
407-2882576-2777135,Male,24,Credit Card,03-01-2021
403-2256919-4846738,Female,20,Credit Card,05-12-2021
403-2920089-2403567,Male,58,Credit Card,14-06-2022
406-7792526-4685142,Male,21,Debit Card,13-08-2021
406-7680255-6117120,Male,35,Cash,11-01-2022
402-4646784-8411501,Female,29,Cash,22-12-2021
405-2788163-4515521,Male,68,Credit Card,04-02-2021
405-1757140-2025918,Female,50,Debit Card,22-02-2022
403-9105351-8453114,Female,44,Cash,14-09-2021
402-0503400-6235514,Female,47,Cash,03-08-2021
408-3201739-2676310,Female,48,Cash,02-01-2023
171-8027093-8553945,Female,39,Credit Card,23-11-2022
403-3331597-7637100,Male,27,Cash,10-01-2023
403-4424319-6635501,Female,34,Cash,10-01-2022
403-0906375-2269150,Female,65,Cash,06-08-2022
406-7261451-5682727,Female,53,Cash,19-02-2023
407-5096970-7475550,Female,19,Credit Card,29-06-2021
402-6566640-5417947,Female,19,Cash,01-07-2021
402-5302912-6805151,Female,31,Credit Card,07-02-2022
407-9707366-3029944,Female,43,Cash,10-10-2021
402-1365379-0131533,Male,42,Credit Card,30-06-2021
408-5540360-9479519,Male,58,Credit Card,24-03-2022
403-2079921-1244300,Female,34,Debit Card,17-09-2022
402-8019936-6115500,Female,32,Debit Card,31-07-2021
406-6711228-7576354,Male,27,Credit Card,21-11-2022
171-1425554-3718756,Female,28,Credit Card,04-09-2022
407-9906412-0889129,Male,55,Credit Card,18-02-2021
408-8991303-6559523,Female,48,Cash,21-03-2021
408-6046797-8945127,Female,46,Credit Card,02-09-2022
171-2134173-5385136,Female,20,Cash,16-06-2021
402-2155477-9353103,Male,39,Credit Card,26-01-2023
407-8580022-5578715,Male,44,Credit Card,01-07-2022
402-1572540-8678700,Female,35,Debit Card,25-01-2023
171-1887627-9813158,Male,48,Credit Card,23-09-2022
408-7712483-3825907,Female,22,Credit Card,08-09-2021
402-3621298-2630741,Female,52,Debit Card,31-10-2022
404-8745561-3169903,Male,45,Debit Card,18-10-2021
404-1508602-9433941,Male,64,Credit Card,15-07-2022
171-9371949-6030721,Male,38,Credit Card,31-05-2021
171-2705563-6985105,Female,45,Cash,22-12-2021
171-3537751-4007556,Female,41,Cash,28-10-2022
408-5990312-3581165,Female,57,Cash,13-06-2021
403-6062596-1220349,Male,57,Debit Card,25-09-2022
171-8220241-5105927,Female,60,Credit Card,18-08-2021
408-9405529-3743511,Female,44,Debit Card,16-09-2021
402-3595365-1666728,Male,38,Cash,15-11-2022
407-3271219-3762757,Male,65,Credit Card,07-08-2021
402-3660716-8589107,Male,30,Debit Card,25-05-2021
171-3953233-6135505,Female,50,Debit Card,12-07-2022
402-5525660-2118707,Female,19,Credit Card,14-09-2022
406-9941718-1734719,Male,26,Debit Card,06-03-2022
171-1297873-2176339,Female,54,Credit Card,23-02-2023
407-6401192-4057954,Female,63,Credit Card,25-06-2021
406-3397500-8084361,Female,66,Debit Card,31-07-2022
171-9620288-8918704,Female,48,Debit Card,08-04-2021
402-8089760-1132331,Male,46,Debit Card,01-04-2021
403-7042175-3905937,Male,54,Cash,13-02-2022
407-4629176-4141949,Male,62,Cash,15-06-2022
171-7306449-0588335,Female,64,Credit Card,19-07-2022
407-1396965-6726703,Male,55,Cash,01-07-2022
407-0624641-6557144,Female,20,Credit Card,19-06-2021
405-8444009-8723509,Male,41,Credit Card,11-01-2022
406-5729580-2175565,Male,54,Credit Card,05-12-2022
404-2255967-5457950,Male,34,Cash,21-04-2021
408-5020509-5674715,Female,31,Cash,10-11-2021
407-7642883-3094732,Male,48,Cash,19-09-2022
404-7608918-0571517,Female,44,Debit Card,18-01-2021
171-6589781-2209965,Female,42,Credit Card,21-04-2022
405-9442254-2207515,Male,25,Credit Card,25-11-2022
405-3071731-6600369,Male,64,Cash,09-11-2022
404-6026001-1717923,Female,67,Cash,03-01-2022
404-4026534-0431517,Female,55,Cash,19-02-2022
406-4970885-3273941,Female,62,Credit Card,15-12-2022
406-2942566-8263534,Female,54,Credit Card,08-11-2021
406-7501816-7391539,Female,43,Credit Card,01-05-2022
408-3137526-3167563,Female,30,Cash,14-04-2021
408-5211576-2061139,Female,58,Debit Card,28-06-2021
406-9632792-8869139,Male,49,Credit Card,10-06-2022
408-7971979-8745937,Female,49,Cash,12-05-2022
405-5166820-2566738,Female,19,Debit Card,27-12-2022
405-8932002-4271522,Female,58,Debit Card,16-08-2021
404-1855398-2642751,Female,49,Credit Card,05-03-2021
408-0912805-7526753,Female,50,Cash,09-02-2023
402-2403704-9667560,Female,21,Cash,26-02-2023
405-2569549-3466719,Male,21,Cash,17-02-2023
405-2822825-3877133,Male,63,Credit Card,08-08-2022
171-5222377-4501935,Male,30,Credit Card,08-03-2023
171-2644368-7969167,Male,66,Credit Card,02-10-2021
171-1758807-7455529,Female,23,Cash,22-12-2021
404-5848202-7366725,Female,69,Cash,12-09-2021
408-8224264-0017161,Female,45,Credit Card,23-03-2022
408-6529937-6381928,Male,53,Credit Card,11-12-2021
407-2028379-9672355,Female,50,Cash,29-12-2022
402-9221687-4573915,Female,45,Debit Card,08-03-2023
405-2668017-2013957,Female,47,Debit Card,10-02-2021
408-3337319-8990747,Female,36,Debit Card,10-05-2021
407-1256885-2004349,Female,61,Cash,06-03-2022
404-3723311-1030756,Female,46,Credit Card,29-03-2021
171-5542306-9306709,Male,47,Debit Card,04-10-2022
406-3702147-1800341,Female,38,Cash,04-11-2021
404-5867260-9073129,Female,41,Credit Card,08-11-2022
404-0532727-2082745,Male,29,Cash,17-05-2021
403-8966287-7773106,Female,58,Credit Card,16-06-2022
408-1512444-4965152,Male,69,Debit Card,24-09-2022
171-9451879-3651542,Female,53,Cash,04-04-2022
408-8501185-0578768,Male,26,Cash,18-10-2022
402-0251823-0845133,Male,53,Cash,16-10-2021
408-5190897-8781155,Female,63,Credit Card,17-05-2021
403-3109934-4911514,Female,54,Credit Card,03-02-2023
407-0718034-7893108,Female,54,Debit Card,15-11-2022
404-0752237-5721965,Male,45,Credit Card,29-07-2021
403-6818986-3510737,Female,62,Credit Card,17-07-2021
403-4673019-6572340,Female,18,Credit Card,08-03-2022
171-4549643-0067500,Female,44,Credit Card,22-09-2022
404-3622512-3887551,Male,50,Cash,01-08-2022
406-6906315-9570765,Male,31,Credit Card,03-04-2021
407-3562449-1962729,Male,62,Cash,21-11-2021
408-2593644-6317933,Female,20,Debit Card,17-09-2021
407-7607527-1189964,Female,65,Cash,09-08-2022
405-7398388-2654744,Female,63,Cash,08-09-2021
405-5066690-4132337,Female,57,Cash,08-10-2021
408-6466311-6949931,Female,59,Debit Card,03-03-2021
171-4643830-2345965,Female,44,Debit Card,26-12-2021
404-1051549-5381167,Female,63,Credit Card,13-02-2023
406-7625210-8793109,Male,65,Cash,04-07-2021
406-8665288-2025908,Female,68,Cash,26-01-2021
408-6732772-4525113,Female,21,Debit Card,05-10-2022
171-7068385-2777168,Female,33,Credit Card,05-04-2021
405-9930530-1209919,Female,23,Cash,27-03-2021
407-0288006-5535531,Female,49,Cash,21-11-2022
403-6363820-3080315,Male,57,Credit Card,21-02-2022
408-7937211-8974712,Female,54,Credit Card,22-08-2022
407-4283259-6933941,Female,41,Credit Card,06-12-2022
407-3630361-4581152,Female,21,Cash,25-03-2021
408-6348199-2089932,Female,45,Debit Card,05-03-2021
408-5824761-8505932,Female,58,Credit Card,02-08-2021
406-0673842-3693910,Male,53,Cash,16-04-2021
405-0722232-7258752,Female,53,Credit Card,03-02-2023
408-0224364-7467540,Male,39,Debit Card,06-05-2022
408-2445040-0957913,Female,21,Cash,05-02-2022
406-8412164-3153129,Female,51,Credit Card,01-12-2022
407-5524319-6977912,Male,50,Debit Card,16-12-2021
407-7757868-6086759,Female,50,Cash,06-01-2023
171-5065107-7793119,Male,61,Cash,08-12-2021
403-0216195-8439543,Male,44,Credit Card,23-02-2021
402-9874837-4557125,Female,31,Debit Card,07-01-2022
408-8892348-9765950,Male,64,Credit Card,14-02-2022
408-6417023-0253911,Male,50,Credit Card,20-05-2022
407-4004149-2857161,Male,45,Credit Card,15-10-2021
404-6408992-6781106,Female,29,Debit Card,02-02-2023
407-9345273-2408359,Female,33,Cash,09-11-2021
408-0266080-9401113,Male,29,Cash,09-01-2023
404-6096382-3389133,Male,65,Credit Card,22-11-2021
405-9737320-3923530,Female,66,Cash,07-01-2023
402-7908398-5262750,Male,54,Credit Card,23-09-2022
407-6861831-9368312,Male,44,Credit Card,24-06-2022
406-4290163-4557960,Male,46,Cash,04-07-2021
405-9000587-4386763,Male,37,Cash,23-08-2021
404-7760595-7490722,Female,22,Credit Card,11-08-2022
403-8206114-6438765,Female,55,Cash,02-08-2021
404-6734371-2217151,Male,41,Cash,07-07-2022
403-9844758-9663515,Male,42,Credit Card,13-02-2022
402-1037282-5400318,Male,24,Credit Card,17-10-2022
408-6497115-2636366,Female,43,Cash,14-11-2022
408-2311178-4563550,Male,40,Credit Card,24-03-2021
171-7904830-1900363,Female,22,Cash,19-02-2021
406-9476969-2801163,Female,27,Cash,12-11-2022
403-2867551-8904322,Female,68,Credit Card,13-04-2021
407-0133690-8157926,Female,48,Credit Card,03-05-2021
402-2892726-4411563,Female,56,Cash,24-04-2022
402-9688522-2179563,Male,25,Debit Card,17-12-2022
404-7977517-7125147,Male,30,Cash,19-11-2022
403-4009455-2766717,Female,49,Credit Card,22-09-2022
408-8960391-6097167,Male,57,Credit Card,16-03-2022
406-9811989-3946709,Female,46,Cash,01-01-2022
406-0361691-7797129,Male,29,Cash,23-07-2021
408-9628391-5712365,Female,69,Debit Card,22-12-2021
408-1587720-2667552,Female,42,Debit Card,09-03-2022
171-5980259-5726757,Female,38,Credit Card,20-02-2022
405-2266530-9531500,Female,46,Debit Card,14-11-2021
408-3468189-1632369,Male,31,Debit Card,23-01-2022
402-8199412-5613164,Male,26,Cash,16-01-2021
406-8049367-7383569,Female,48,Cash,02-04-2022
404-4084311-5014713,Male,30,Credit Card,16-10-2022
405-4491602-9761902,Male,56,Cash,18-01-2023
404-3973098-9107502,Male,65,Cash,27-09-2022
404-8364446-3952321,Female,53,Credit Card,31-01-2022
408-4378624-3886712,Female,43,Cash,10-12-2022
408-2058872-0942730,Male,26,Cash,08-04-2022
404-5141245-7726736,Male,23,Debit Card,05-08-2022
405-5489495-6651552,Female,54,Credit Card,07-01-2023
171-6816175-3049154,Male,56,Cash,28-06-2021
408-7342331-1733136,Female,37,Cash,04-06-2022
402-1721558-6618710,Male,48,Debit Card,25-07-2021
406-2138801-8731538,Male,56,Debit Card,14-02-2021
407-1271803-1705135,Female,58,Cash,28-07-2022
408-0666162-2209142,Female,40,Credit Card,09-09-2022
404-8344681-3468344,Female,38,Debit Card,19-03-2022
405-5365766-8023559,Female,40,Credit Card,25-12-2022
405-2729845-2846741,Male,64,Cash,20-09-2022
407-7312276-7007540,Male,28,Debit Card,12-04-2022
407-6910434-1793162,Male,49,Debit Card,03-10-2021
407-7361111-8973957,Male,51,Cash,13-06-2022
406-2349830-7633129,Male,22,Credit Card,01-07-2021
404-0553710-6997951,Female,67,Debit Card,08-07-2022
404-5682813-1706729,Female,22,Credit Card,02-02-2022
171-0355946-6502712,Female,26,Cash,10-11-2022
405-5141255-1451535,Female,42,Debit Card,01-01-2023
402-4712282-7084353,Female,45,Credit Card,06-11-2021
408-4929717-0247504,Female,43,Credit Card,09-04-2021
407-0903946-2097158,Female,35,Debit Card,31-07-2021
403-3362230-0094739,Male,49,Credit Card,15-08-2022
404-2227887-7441969,Female,49,Cash,24-08-2021
407-8016372-7101131,Male,33,Cash,24-01-2022
407-2520173-9985116,Female,65,Cash,14-06-2022
407-3257788-4892350,Male,40,Cash,05-12-2021
408-7201398-0382766,Male,68,Cash,12-10-2021
407-1181422-6183500,Female,26,Cash,21-04-2022
408-6235816-9261123,Male,38,Debit Card,24-06-2021
408-5823964-2421167,Female,56,Credit Card,05-03-2023
408-2752424-0976355,Male,19,Cash,09-05-2021
