Customer ID,Order ID,Order Date,Ship Date,Ship Mode
SC-20770,CA-2013-127208,13-06-2013,16-06-2013,First Class
SC-20770,CA-2013-127208,13-06-2013,16-06-2013,First Class
DN-13690,CA-2011-139451,12-10-2011,16-10-2011,Standard Class
DN-13690,CA-2011-139451,12-10-2011,16-10-2011,Standard Class
JC-16105,CA-2012-149734,03-09-2012,08-09-2012,Standard Class
CS-12400,US-2014-119662,14-11-2014,17-11-2014,First Class
PO-18865,CA-2014-140088,29-05-2014,31-05-2014,Second Class
PG-18895,CA-2014-155558,27-10-2014,03-11-2014,Standard Class
PG-18895,CA-2014-155558,27-10-2014,03-11-2014,Standard Class
GM-14455,CA-2013-159695,06-04-2013,11-04-2013,Second Class
JS-15685,CA-2013-109806,18-09-2013,23-09-2013,Standard Class
JS-15685,CA-2013-109806,18-09-2013,23-09-2013,Standard Class
JS-15685,CA-2013-109806,18-09-2013,23-09-2013,Standard Class
KB-16315,CA-2012-149587,31-01-2012,05-02-2012,Second Class
KB-16315,CA-2012-149587,31-01-2012,05-02-2012,Second Class
KB-16315,CA-2012-149587,31-01-2012,05-02-2012,Second Class
RB-19705,US-2014-109484,07-11-2014,13-11-2014,Standard Class
PN-18775,CA-2014-161018,10-11-2014,12-11-2014,Second Class
KD-16345,CA-2014-157833,18-06-2014,21-06-2014,First Class
ER-13855,CA-2013-149223,07-09-2013,12-09-2013,Standard Class
RB-19465,CA-2013-158568,30-08-2013,03-09-2013,Standard Class
RB-19465,CA-2013-158568,30-08-2013,03-09-2013,Standard Class
RB-19465,CA-2013-158568,30-08-2013,03-09-2013,Standard Class
GZ-14470,CA-2013-129903,02-12-2013,05-12-2013,Second Class
LC-16870,US-2012-156867,13-11-2012,17-11-2012,Standard Class
LC-16870,US-2012-156867,13-11-2012,17-11-2012,Standard Class
LC-16870,US-2012-156867,13-11-2012,17-11-2012,Standard Class
JM-15250,CA-2014-119004,24-11-2014,29-11-2014,Standard Class
JM-15250,CA-2014-119004,24-11-2014,29-11-2014,Standard Class
JM-15250,CA-2014-119004,24-11-2014,29-11-2014,Standard Class
PA-19060,CA-2012-129476,15-10-2012,20-10-2012,Standard Class
CV-12805,CA-2014-146780,26-12-2014,31-12-2014,Standard Class
CL-12565,CA-2013-128867,04-11-2013,11-11-2013,Standard Class
CL-12565,CA-2013-128867,04-11-2013,11-11-2013,Standard Class
RC-19960,CA-2011-115259,25-08-2011,27-08-2011,Second Class
RC-19960,CA-2011-115259,25-08-2011,27-08-2011,Second Class
RC-19960,CA-2011-115259,25-08-2011,27-08-2011,Second Class
RC-19960,CA-2011-115259,25-08-2011,27-08-2011,Second Class
DK-13090,CA-2012-110457,02-03-2012,06-03-2012,Standard Class
GG-14650,US-2012-136476,05-04-2012,10-04-2012,Standard Class
SC-20725,CA-2013-103730,13-06-2013,16-06-2013,First Class
SC-20725,CA-2013-103730,13-06-2013,16-06-2013,First Class
SC-20725,CA-2013-103730,13-06-2013,16-06-2013,First Class
SC-20725,CA-2013-103730,13-06-2013,16-06-2013,First Class
SC-20725,CA-2013-103730,13-06-2013,16-06-2013,First Class
AD-10180,US-2011-152030,26-12-2011,28-12-2011,Second Class
PF-19165,US-2011-134614,20-09-2011,25-09-2011,Standard Class
TS-21610,US-2014-107272,06-11-2014,13-11-2014,Standard Class
TS-21610,US-2014-107272,06-11-2014,13-11-2014,Standard Class
LS-16975,US-2013-125969,07-11-2013,11-11-2013,Second Class
LS-16975,US-2013-125969,07-11-2013,11-11-2013,Second Class
DW-13585,US-2014-164147,03-02-2014,06-02-2014,First Class
DW-13585,US-2014-164147,03-02-2014,06-02-2014,First Class
DW-13585,US-2014-164147,03-02-2014,06-02-2014,First Class
LC-16885,CA-2013-145583,14-10-2013,20-10-2013,Standard Class
LC-16885,CA-2013-145583,14-10-2013,20-10-2013,Standard Class
LC-16885,CA-2013-145583,14-10-2013,20-10-2013,Standard Class
LC-16885,CA-2013-145583,14-10-2013,20-10-2013,Standard Class
LC-16885,CA-2013-145583,14-10-2013,20-10-2013,Standard Class
LC-16885,CA-2013-145583,14-10-2013,20-10-2013,Standard Class
LC-16885,CA-2013-145583,14-10-2013,20-10-2013,Standard Class
JD-15895,CA-2013-110366,06-09-2013,08-09-2013,Second Class
SH-19975,CA-2014-106180,19-09-2014,24-09-2014,Standard Class
SH-19975,CA-2014-106180,19-09-2014,24-09-2014,Standard Class
SH-19975,CA-2014-106180,19-09-2014,24-09-2014,Standard Class
SG-20080,CA-2014-155376,23-12-2014,28-12-2014,Standard Class
HA-14920,CA-2012-110744,07-09-2012,12-09-2012,Standard Class
MG-17680,CA-2011-110072,22-10-2011,28-10-2011,Standard Class
JE-16165,CA-2013-114489,06-12-2013,10-12-2013,Standard Class
JE-16165,CA-2013-114489,06-12-2013,10-12-2013,Standard Class
JE-16165,CA-2013-114489,06-12-2013,10-12-2013,Standard Class
JE-16165,CA-2013-114489,06-12-2013,10-12-2013,Standard Class
TW-21025,CA-2013-158834,14-03-2013,17-03-2013,First Class
TW-21025,CA-2013-158834,14-03-2013,17-03-2013,First Class
SP-20650,CA-2012-124919,31-05-2012,02-06-2012,First Class
SP-20650,CA-2012-124919,31-05-2012,02-06-2012,First Class
SP-20650,CA-2012-124919,31-05-2012,02-06-2012,First Class
NK-18490,CA-2012-118948,28-05-2012,03-06-2012,Standard Class
DB-13060,CA-2011-104269,01-03-2011,06-03-2011,Second Class
NP-18670,CA-2013-114104,21-11-2013,25-11-2013,Standard Class
NP-18670,CA-2013-114104,21-11-2013,25-11-2013,Standard Class
TT-21070,CA-2013-162733,12-05-2013,13-05-2013,First Class
EM-13960,CA-2012-119697,28-12-2012,31-12-2012,Second Class
RD-19900,CA-2013-154508,17-11-2013,21-11-2013,Standard Class
MJ-17740,CA-2013-113817,08-11-2013,12-11-2013,Standard Class
BM-11140,CA-2011-139892,08-09-2011,12-09-2011,Standard Class
BM-11140,CA-2011-139892,08-09-2011,12-09-2011,Standard Class
BM-11140,CA-2011-139892,08-09-2011,12-09-2011,Standard Class
BM-11140,CA-2011-139892,08-09-2011,12-09-2011,Standard Class
BM-11140,CA-2011-139892,08-09-2011,12-09-2011,Standard Class
BM-11140,CA-2011-139892,08-09-2011,12-09-2011,Standard Class
BM-11140,CA-2011-139892,08-09-2011,12-09-2011,Standard Class
CS-12130,CA-2011-118962,05-08-2011,09-08-2011,Standard Class
CS-12130,CA-2011-118962,05-08-2011,09-08-2011,Standard Class
CS-12130,CA-2011-118962,05-08-2011,09-08-2011,Standard Class
JB-15400,US-2011-100853,14-09-2011,19-09-2011,Standard Class
JB-15400,US-2011-100853,14-09-2011,19-09-2011,Standard Class
SJ-20500,US-2014-152366,22-04-2014,26-04-2014,Second Class
JE-15745,US-2012-101511,21-11-2012,23-11-2012,Second Class
JE-15745,US-2012-101511,21-11-2012,23-11-2012,Second Class
JK-15640,CA-2012-137225,15-12-2012,19-12-2012,Standard Class
DK-13150,CA-2011-166191,05-12-2011,09-12-2011,Second Class
DK-13150,CA-2011-166191,05-12-2011,09-12-2011,Second Class
RM-19675,CA-2011-158274,19-11-2011,24-11-2011,Second Class
RM-19675,CA-2011-158274,19-11-2011,24-11-2011,Second Class
RM-19675,CA-2011-158274,19-11-2011,24-11-2011,Second Class
SK-19990,CA-2013-105018,29-11-2013,03-12-2013,Standard Class
FM-14290,CA-2011-123260,26-08-2011,30-08-2011,Standard Class
AM-10360,CA-2013-157000,17-07-2013,23-07-2013,Standard Class
AM-10360,CA-2013-157000,17-07-2013,23-07-2013,Standard Class
MP-17470,CA-2012-102281,12-10-2012,14-10-2012,First Class
MP-17470,CA-2012-102281,12-10-2012,14-10-2012,First Class
MP-17470,CA-2012-102281,12-10-2012,14-10-2012,First Class
MP-17470,CA-2012-102281,12-10-2012,14-10-2012,First Class
MP-17470,CA-2012-102281,12-10-2012,14-10-2012,First Class
MZ-17515,CA-2012-131457,31-10-2012,06-11-2012,Standard Class
CB-12025,CA-2011-140004,21-03-2011,25-03-2011,Standard Class
CB-12025,CA-2011-140004,21-03-2011,25-03-2011,Standard Class
VM-21685,CA-2014-107720,07-11-2014,14-11-2014,Standard Class
FH-14365,US-2014-124303,07-07-2014,14-07-2014,Standard Class
FH-14365,US-2014-124303,07-07-2014,14-07-2014,Standard Class
MB-17305,CA-2014-105074,25-06-2014,30-06-2014,Standard Class
BS-11755,CA-2011-133690,03-08-2011,05-08-2011,First Class
BS-11755,CA-2011-133690,03-08-2011,05-08-2011,First Class
LC-17140,US-2014-116701,18-12-2014,22-12-2014,Second Class
HK-14890,CA-2014-126382,04-06-2014,08-06-2014,Standard Class
LE-16810,CA-2014-108329,10-12-2014,15-12-2014,Standard Class
JH-15985,CA-2014-135860,02-12-2014,08-12-2014,Standard Class
JH-15985,CA-2014-135860,02-12-2014,08-12-2014,Standard Class
JH-15985,CA-2014-135860,02-12-2014,08-12-2014,Standard Class
JH-15985,CA-2014-135860,02-12-2014,08-12-2014,Standard Class
JH-15985,CA-2014-135860,02-12-2014,08-12-2014,Standard Class
MS-17980,CA-2012-101007,09-02-2012,13-02-2012,Second Class
VW-21775,CA-2012-146262,02-01-2012,09-01-2012,Standard Class
VW-21775,CA-2012-146262,02-01-2012,09-01-2012,Standard Class
VW-21775,CA-2012-146262,02-01-2012,09-01-2012,Standard Class
VW-21775,CA-2012-146262,02-01-2012,09-01-2012,Standard Class
VW-21775,CA-2012-146262,02-01-2012,09-01-2012,Standard Class
JH-15910,CA-2013-130162,29-10-2013,02-11-2013,Standard Class
JH-15910,CA-2013-130162,29-10-2013,02-11-2013,Standard Class
JB-15925,CA-2012-169397,24-12-2012,27-12-2012,First Class
JB-15925,CA-2012-169397,24-12-2012,27-12-2012,First Class
JB-15925,CA-2012-169397,24-12-2012,27-12-2012,First Class
JB-15925,CA-2012-169397,24-12-2012,27-12-2012,First Class
JB-15925,CA-2012-169397,24-12-2012,27-12-2012,First Class
JB-15925,CA-2012-169397,24-12-2012,27-12-2012,First Class
DS-13180,CA-2012-163055,09-08-2012,16-08-2012,Standard Class
DS-13180,CA-2012-163055,09-08-2012,16-08-2012,Standard Class
DS-13180,CA-2012-163055,09-08-2012,16-08-2012,Standard Class
VD-21670,US-2012-145436,28-02-2012,04-03-2012,Standard Class
VD-21670,US-2012-145436,28-02-2012,04-03-2012,Standard Class
EA-14035,US-2011-156216,13-09-2011,17-09-2011,Standard Class
CS-12400,US-2014-100930,08-04-2014,13-04-2014,Standard Class
CS-12400,US-2014-100930,08-04-2014,13-04-2014,Standard Class
CS-12400,US-2014-100930,08-04-2014,13-04-2014,Standard Class
CS-12400,US-2014-100930,08-04-2014,13-04-2014,Standard Class
CS-12400,US-2014-100930,08-04-2014,13-04-2014,Standard Class
DB-13120,CA-2014-160514,13-11-2014,17-11-2014,Standard Class
KL-16645,CA-2013-157749,05-06-2013,10-06-2013,Second Class
KL-16645,CA-2013-157749,05-06-2013,10-06-2013,Second Class
KL-16645,CA-2013-157749,05-06-2013,10-06-2013,Second Class
KL-16645,CA-2013-157749,05-06-2013,10-06-2013,Second Class
KL-16645,CA-2013-157749,05-06-2013,10-06-2013,Second Class
KL-16645,CA-2013-157749,05-06-2013,10-06-2013,Second Class
KL-16645,CA-2013-157749,05-06-2013,10-06-2013,Second Class
DW-13480,CA-2011-131926,01-06-2011,06-06-2011,Second Class
DW-13480,CA-2011-131926,01-06-2011,06-06-2011,Second Class
DW-13480,CA-2011-131926,01-06-2011,06-06-2011,Second Class
DW-13480,CA-2011-131926,01-06-2011,06-06-2011,Second Class
DW-13480,CA-2011-131926,01-06-2011,06-06-2011,Second Class
LH-17155,CA-2013-154739,11-12-2013,16-12-2013,Second Class
KC-16540,CA-2013-145625,12-09-2013,18-09-2013,Standard Class
KC-16540,CA-2013-145625,12-09-2013,18-09-2013,Standard Class
DL-13315,CA-2013-146941,11-12-2013,14-12-2013,First Class
DL-13315,CA-2013-146941,11-12-2013,14-12-2013,First Class
DR-12880,US-2012-159982,28-11-2012,04-12-2012,Standard Class
DR-12880,US-2012-159982,28-11-2012,04-12-2012,Standard Class
DR-12880,US-2012-159982,28-11-2012,04-12-2012,Standard Class
DR-12880,US-2012-159982,28-11-2012,04-12-2012,Standard Class
CC-12670,CA-2014-163139,02-12-2014,04-12-2014,Second Class
CC-12670,CA-2014-163139,02-12-2014,04-12-2014,Second Class
CC-12670,CA-2014-163139,02-12-2014,04-12-2014,Second Class
Dl-13600,US-2014-155299,09-06-2014,13-06-2014,Standard Class
SB-20290,US-2011-106992,19-09-2011,21-09-2011,Second Class
SB-20290,US-2011-106992,19-09-2011,21-09-2011,Second Class
RC-19825,CA-2013-125318,07-06-2013,14-06-2013,Standard Class
AH-10210,CA-2012-155040,10-11-2012,15-11-2012,Standard Class
CB-12535,CA-2014-136826,17-06-2014,21-06-2014,Standard Class
PG-18895,CA-2013-111010,22-01-2013,28-01-2013,Standard Class
CA-12310,US-2014-145366,10-12-2014,14-12-2014,Standard Class
CA-12310,US-2014-145366,10-12-2014,14-12-2014,Standard Class
KH-16690,CA-2014-163979,29-12-2014,03-01-2015,Second Class
HA-14920,CA-2012-155334,30-07-2012,31-07-2012,First Class
HA-14920,CA-2012-155334,30-07-2012,31-07-2012,First Class
HA-14920,CA-2012-155334,30-07-2012,31-07-2012,First Class
BB-10990,CA-2014-118136,17-09-2014,18-09-2014,First Class
BB-10990,CA-2014-118136,17-09-2014,18-09-2014,First Class
AG-10495,CA-2014-132976,14-10-2014,18-10-2014,Standard Class
AG-10495,CA-2014-132976,14-10-2014,18-10-2014,Standard Class
AG-10495,CA-2014-132976,14-10-2014,18-10-2014,Standard Class
AG-10495,CA-2014-132976,14-10-2014,18-10-2014,Standard Class
SC-20725,US-2012-161991,26-09-2012,28-09-2012,Second Class
SC-20725,US-2012-161991,26-09-2012,28-09-2012,Second Class
JO-15280,CA-2012-130890,02-11-2012,06-11-2012,Standard Class
TB-21520,CA-2012-130883,26-09-2012,02-10-2012,Standard Class
TB-21520,CA-2012-130883,26-09-2012,02-10-2012,Standard Class
TB-21520,CA-2012-130883,26-09-2012,02-10-2012,Standard Class
AH-10195,CA-2013-112697,19-12-2013,21-12-2013,Second Class
AH-10195,CA-2013-112697,19-12-2013,21-12-2013,Second Class
AH-10195,CA-2013-112697,19-12-2013,21-12-2013,Second Class
NZ-18565,CA-2013-110772,21-11-2013,25-11-2013,Second Class
NZ-18565,CA-2013-110772,21-11-2013,25-11-2013,Second Class
NZ-18565,CA-2013-110772,21-11-2013,25-11-2013,Second Class
NZ-18565,CA-2013-110772,21-11-2013,25-11-2013,Second Class
KL-16555,CA-2011-111451,26-12-2011,28-12-2011,First Class
KL-16555,CA-2011-111451,26-12-2011,28-12-2011,First Class
KL-16555,CA-2011-111451,26-12-2011,28-12-2011,First Class
KL-16555,CA-2011-111451,26-12-2011,28-12-2011,First Class
KL-16555,CA-2011-111451,26-12-2011,28-12-2011,First Class
JD-15895,CA-2013-142545,29-10-2013,04-11-2013,Standard Class
JD-15895,CA-2013-142545,29-10-2013,04-11-2013,Standard Class
JD-15895,CA-2013-142545,29-10-2013,04-11-2013,Standard Class
JD-15895,CA-2013-142545,29-10-2013,04-11-2013,Standard Class
JD-15895,CA-2013-142545,29-10-2013,04-11-2013,Standard Class
JH-15910,US-2014-152380,20-11-2014,24-11-2014,Standard Class
AS-10225,CA-2012-144253,04-05-2012,09-05-2012,Second Class
KB-16600,CA-2011-130960,30-12-2011,04-01-2012,Standard Class
CR-12625,CA-2011-111003,01-06-2011,06-06-2011,Standard Class
CR-12625,CA-2011-111003,01-06-2011,06-06-2011,Standard Class
SH-20395,CA-2014-126774,16-04-2014,18-04-2014,First Class
BP-11185,CA-2013-142902,13-09-2013,15-09-2013,Second Class
BP-11185,CA-2013-142902,13-09-2013,15-09-2013,Second Class
BP-11185,CA-2013-142902,13-09-2013,15-09-2013,Second Class
BP-11185,CA-2013-142902,13-09-2013,15-09-2013,Second Class
TS-21205,CA-2011-120887,27-09-2011,03-10-2011,Standard Class
AG-10525,CA-2011-167850,09-08-2011,16-08-2011,Standard Class
AG-10525,CA-2011-167850,09-08-2011,16-08-2011,Standard Class
SP-20860,CA-2011-164259,28-12-2011,30-12-2011,First Class
NM-18445,CA-2011-164973,04-11-2011,09-11-2011,Standard Class
NM-18445,CA-2011-164973,04-11-2011,09-11-2011,Standard Class
NM-18445,CA-2011-164973,04-11-2011,09-11-2011,Standard Class
NM-18445,CA-2011-164973,04-11-2011,09-11-2011,Standard Class
NM-18445,CA-2011-164973,04-11-2011,09-11-2011,Standard Class
FA-14230,CA-2011-156601,19-09-2011,24-09-2011,Standard Class
GK-14620,CA-2013-162138,24-04-2013,28-04-2013,Standard Class
GK-14620,CA-2013-162138,24-04-2013,28-04-2013,Standard Class
DJ-13510,CA-2014-153339,04-11-2014,06-11-2014,Second Class
PO-18850,US-2013-141544,31-08-2013,02-09-2013,First Class
PO-18850,US-2013-141544,31-08-2013,02-09-2013,First Class
PO-18850,US-2013-141544,31-08-2013,02-09-2013,First Class
PO-18850,US-2013-141544,31-08-2013,02-09-2013,First Class
PO-18850,US-2013-141544,31-08-2013,02-09-2013,First Class
JL-15850,US-2013-150147,26-04-2013,30-04-2013,Second Class
JL-15850,US-2013-150147,26-04-2013,30-04-2013,Second Class
JL-15850,US-2013-150147,26-04-2013,30-04-2013,Second Class
DB-13615,CA-2012-137946,01-09-2012,04-09-2012,Second Class
DB-13615,CA-2012-137946,01-09-2012,04-09-2012,Second Class
DB-13615,CA-2012-137946,01-09-2012,04-09-2012,Second Class
AC-10420,CA-2011-129924,12-07-2011,17-07-2011,Standard Class
AC-10420,CA-2011-129924,12-07-2011,17-07-2011,Standard Class
KL-16645,CA-2012-128167,22-06-2012,26-06-2012,Second Class
JD-15895,CA-2011-122336,13-04-2011,17-04-2011,Second Class
JD-15895,CA-2011-122336,13-04-2011,17-04-2011,Second Class
JD-15895,CA-2011-122336,13-04-2011,17-04-2011,Second Class
JD-15895,CA-2011-122336,13-04-2011,17-04-2011,Second Class
CS-12130,US-2012-120712,20-12-2012,24-12-2012,Standard Class
CC-12550,CA-2014-169901,16-06-2014,20-06-2014,Standard Class
TD-20995,CA-2014-134306,09-07-2014,13-07-2014,Standard Class
TD-20995,CA-2014-134306,09-07-2014,13-07-2014,Standard Class
TD-20995,CA-2014-134306,09-07-2014,13-07-2014,Standard Class
AB-10060,CA-2013-129714,02-09-2013,04-09-2013,First Class
AB-10060,CA-2013-129714,02-09-2013,04-09-2013,First Class
AB-10060,CA-2013-129714,02-09-2013,04-09-2013,First Class
AB-10060,CA-2013-129714,02-09-2013,04-09-2013,First Class
AB-10060,CA-2013-129714,02-09-2013,04-09-2013,First Class
JL-15505,CA-2013-138520,09-04-2013,14-04-2013,Standard Class
JL-15505,CA-2013-138520,09-04-2013,14-04-2013,Standard Class
JL-15505,CA-2013-138520,09-04-2013,14-04-2013,Standard Class
JL-15505,CA-2013-138520,09-04-2013,14-04-2013,Standard Class
HK-14890,CA-2013-130001,24-04-2013,29-04-2013,Standard Class
VB-21745,CA-2014-155698,09-03-2014,12-03-2014,First Class
VB-21745,CA-2014-155698,09-03-2014,12-03-2014,First Class
KW-16435,CA-2014-144904,26-09-2014,02-10-2014,Standard Class
KW-16435,CA-2014-144904,26-09-2014,02-10-2014,Standard Class
KW-16435,CA-2014-144904,26-09-2014,02-10-2014,Standard Class
KW-16435,CA-2014-144904,26-09-2014,02-10-2014,Standard Class
JD-16060,CA-2011-123344,24-09-2011,29-09-2011,Standard Class
MK-17905,CA-2013-155516,22-10-2013,22-10-2013,Same Day
MK-17905,CA-2013-155516,22-10-2013,22-10-2013,Same Day
MK-17905,CA-2013-155516,22-10-2013,22-10-2013,Same Day
MK-17905,CA-2013-155516,22-10-2013,22-10-2013,Same Day
GT-14755,CA-2014-104745,30-05-2014,05-06-2014,Standard Class
GT-14755,CA-2014-104745,30-05-2014,05-06-2014,Standard Class
AG-10900,US-2011-119137,23-07-2011,27-07-2011,Standard Class
AG-10900,US-2011-119137,23-07-2011,27-07-2011,Standard Class
AG-10900,US-2011-119137,23-07-2011,27-07-2011,Standard Class
AG-10900,US-2011-119137,23-07-2011,27-07-2011,Standard Class
MM-18280,US-2013-134656,29-09-2013,02-10-2013,First Class
AR-10405,US-2014-134481,28-08-2014,02-09-2014,Standard Class
RA-19915,CA-2012-130792,28-04-2012,05-05-2012,Standard Class
RA-19915,CA-2012-130792,28-04-2012,05-05-2012,Standard Class
RA-19915,CA-2012-130792,28-04-2012,05-05-2012,Standard Class
AS-10285,CA-2013-134775,29-10-2013,30-10-2013,First Class
AS-10285,CA-2013-134775,29-10-2013,30-10-2013,First Class
LA-16780,CA-2012-125395,26-06-2012,29-06-2012,Second Class
DO-13435,US-2012-168935,27-11-2012,02-12-2012,Standard Class
DO-13435,US-2012-168935,27-11-2012,02-12-2012,Standard Class
DK-13225,CA-2012-122756,03-12-2012,07-12-2012,Standard Class
DK-13225,CA-2012-122756,03-12-2012,07-12-2012,Standard Class
NG-18430,CA-2011-115973,24-11-2011,26-11-2011,First Class
MV-18190,CA-2014-101798,12-12-2014,16-12-2014,Standard Class
MV-18190,CA-2014-101798,12-12-2014,16-12-2014,Standard Class
JG-15115,US-2011-135972,21-09-2011,23-09-2011,Second Class
JG-15115,US-2011-135972,21-09-2011,23-09-2011,Second Class
BP-11095,US-2011-134971,07-06-2011,10-06-2011,Second Class
VP-21730,CA-2014-102946,01-07-2014,06-07-2014,Standard Class
SS-20140,CA-2014-165603,18-10-2014,20-10-2014,Second Class
SS-20140,CA-2014-165603,18-10-2014,20-10-2014,Second Class
HP-14815,CA-2012-122259,31-10-2012,04-11-2012,Standard Class
AG-10675,CA-2013-108987,09-09-2013,11-09-2013,Second Class
AG-10675,CA-2013-108987,09-09-2013,11-09-2013,Second Class
AG-10675,CA-2013-108987,09-09-2013,11-09-2013,Second Class
AG-10675,CA-2013-108987,09-09-2013,11-09-2013,Second Class
LF-17185,CA-2011-113166,24-12-2011,26-12-2011,First Class
SP-20650,CA-2011-155208,16-04-2011,20-04-2011,Standard Class
RF-19840,CA-2014-117933,25-12-2014,30-12-2014,Standard Class
KH-16510,CA-2014-117457,09-12-2014,13-12-2014,Standard Class
KH-16510,CA-2014-117457,09-12-2014,13-12-2014,Standard Class
