Customer ID,Order ID,Region,Product ID,Category,Sub-Category,Product Name
TB-21520,408-3484251-6901959,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
TB-21520,405-7755803-4729935,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
TB-21520,404-5933402-8801952,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
TB-21520,171-9040274-9291563,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
TB-21520,403-7056319-0979561,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
TB-21520,404-9632124-1107550,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
TB-21520,402-1465437-0579556,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons
MA-17560,404-7774085-3780319,Central,OFF-PA-10000249,Office Supplies,Paper,Staples
GH-14485,402-2764952-1492318,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4
GH-14485,406-0272200-7784379,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
SN-20710,403-4367956-2849158,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes"
SN-20710,403-4242957-8599555,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
SN-20710,408-7165704-5643524,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray"
SN-20710,402-8210765-3935569,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter
LC-16930,406-7398201-3869914,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
RA-19885,408-3478480-0881162,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum"
ES-14080,402-7595162-9129931,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers"
ON-18715,171-6876154-6233146,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack"
ON-18715,408-3917043-5314763,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings
PO-18865,408-9281152-6213100,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black"
LH-16900,403-3496411-3082707,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
LH-16900,171-9208368-0157156,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite"
DP-13000,408-2137113-0982751,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
DP-13000,402-3628566-9688333,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485
DP-13000,408-7138000-9728362,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
DP-13000,402-1752649-2274748,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black"
JM-15265,402-7944191-1869101,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins
JM-15265,407-4063876-9566742,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone
TB-21055,403-0752752-4656334,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts
TB-21055,406-8879861-2081117,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232
TB-21055,406-8089333-7941903,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair
TB-21055,171-3072652-6805159,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors"
TB-21055,171-2592464-6846743,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive
TB-21055,404-2262140-4696366,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs
TB-21055,405-3594372-1614709,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks
KM-16720,407-2974257-4781134,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack"
KM-16720,171-4137548-0481151,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
KM-16720,405-4461562-9113959,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943
KM-16720,404-4535078-5241919,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp
PS-18970,405-8387725-2971512,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray"
BS-11590,405-6480932-8759528,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige"
BS-11590,405-9966506-3155561,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service
KD-16270,408-7029737-8028367,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate"
HM-14980,407-2189901-7515567,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets
TB-21520,402-2105657-2899562,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16"""
JE-15745,406-1326801-8886709,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair
JE-15745,408-7760667-5809130,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48"""
JE-15745,405-8457623-9269955,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System
KB-16600,408-6820155-3521913,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders
KB-16600,403-6190683-2687538,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black"
KB-16600,408-4069830-3819562,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h"
JE-15745,171-7367545-7081126,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak"
SC-20770,404-6522553-9345930,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators"
SC-20770,403-9950518-0349133,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings
DN-13690,407-6599093-6553153,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind"
DN-13690,403-3763475-2237125,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black"
JC-16105,405-1492294-0323520,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers
CS-12400,403-1162895-2484367,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
PO-18865,171-6833843-5473114,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair
PG-18895,403-1477057-8253913,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired
PG-18895,408-2114413-6089906,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511
GM-14455,405-1879750-2639521,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager
JS-15685,406-5727754-5302723,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip
JS-15685,405-0901744-8270705,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550
JS-15685,405-9112089-3379536,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995
KB-16315,408-6357132-2310703,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999
KB-16315,406-5334922-9670748,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock"
KB-16315,402-8519791-3706738,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers
RB-19705,408-1830318-0357940,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder
PN-18775,406-5103760-7326749,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock
KD-16345,402-7841951-1872363,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders
ER-13855,408-7698765-2294756,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors
RB-19465,404-1856281-9996319,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards
RB-19465,406-5406738-7113145,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card
RB-19465,405-5257740-5301158,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems
GZ-14470,405-2072502-4089911,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)
LC-16870,405-0882561-5952340,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard
LC-16870,403-7266170-1163500,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting"
LC-16870,405-8114272-1687512,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
JM-15250,171-6138639-1478731,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive
JM-15250,405-4059216-4541150,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
JM-15250,405-1152015-7333945,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder
PA-19060,406-0177436-6731556,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard
CV-12805,406-0715107-8168308,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp
CL-12565,403-0104882-7373900,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue"
CL-12565,405-3002282-6797102,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders"
RC-19960,407-8466904-3461908,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes"
RC-19960,171-3305587-5364338,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2"
RC-19960,406-8961316-8137943,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921
RC-19960,171-2813040-8296320,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White"
DK-13090,408-9845791-1393151,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables
GG-14650,402-4277204-2348328,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine
SC-20725,171-3049339-2085136,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque
SC-20725,405-9928526-2470747,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
SC-20725,405-4908072-0260360,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black"
SC-20725,406-3984186-5973150,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes
SC-20725,171-8635309-7508346,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7
AD-10180,171-0293372-4913973,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
PF-19165,402-8288606-4313118,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables
TS-21610,402-8746990-6412346,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
TS-21610,402-0294212-5431551,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black"
LS-16975,406-1530134-2105912,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black"
LS-16975,403-5222550-4437140,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets
DW-13585,408-1482435-5202714,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5
DW-13585,403-6442534-2769112,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916
DW-13585,408-3113070-0750756,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples
LC-16885,404-7796841-1880317,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195
LC-16885,405-2142542-0941949,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880
LC-16885,405-0286717-7761132,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box"
LC-16885,406-9021273-9221106,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps
LC-16885,404-5381335-4577925,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips
LC-16885,171-0131752-2560336,West,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors
LC-16885,407-4235449-1353916,West,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs
JD-15895,171-8061614-5688327,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
SH-19975,407-8248783-4261958,West,OFF-AR-10000940,Office Supplies,Art,Newell 343
SH-19975,404-6513062-3876305,West,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes
SH-19975,406-7779874-9136347,West,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911
SG-20080,406-9638549-1733961,Central,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators
HA-14920,407-8801185-0134713,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving
MG-17680,171-3625443-6505905,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock"
JE-16165,402-8078642-8565124,Central,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C
JE-16165,402-2820441-9623566,Central,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger
JE-16165,171-4312987-5366767,Central,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
JE-16165,403-5189998-9343503,Central,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers
TW-21025,407-9863928-5979501,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection
TW-21025,171-4644162-9093116,West,TEC-PH-10001254,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset
SP-20650,406-0974406-3179521,West,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
SP-20650,402-0048138-1845122,West,OFF-PA-10002254,Office Supplies,Paper,Xerox 1883
SP-20650,407-6283946-7749133,West,OFF-ST-10001590,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black"
NK-18490,407-0542879-1795554,West,OFF-AR-10001547,Office Supplies,Art,Newell 311
DB-13060,406-0218328-1773963,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair
NP-18670,407-3742007-3242711,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519
NP-18670,405-3067317-3360344,Central,TEC-PH-10004536,Technology,Phones,Avaya 5420 Digital phone
TT-21070,406-5648244-8317954,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920
EM-13960,171-3460653-0171519,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad
RD-19900,404-5337874-2284337,West,OFF-EN-10001990,Office Supplies,Envelopes,Staples
MJ-17740,405-2660443-4165145,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders
BM-11140,402-3329522-2367566,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters
BM-11140,406-3078054-1755513,Central,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer
BM-11140,171-4647176-6456305,Central,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.
BM-11140,408-5011528-8276347,Central,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair
BM-11140,407-4097885-3129958,Central,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters
BM-11140,171-1224053-5752314,Central,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center
BM-11140,406-2849582-6531553,Central,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker
CS-12130,407-5875767-6399551,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”"
CS-12130,171-6336729-6763536,West,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913
CS-12130,404-3907920-5281963,West,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray"
JB-15400,408-7310428-6047538,Central,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center
JB-15400,403-2608092-6065935,Central,OFF-LA-10003148,Office Supplies,Labels,Avery 51
SJ-20500,404-9760385-9109154,Central,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection"
JE-15745,405-0732969-3941948,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton"
JE-15745,402-2720308-2560327,East,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener
JK-15640,402-0589123-6183541,East,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count"
DK-13150,408-3874942-9917143,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black"
DK-13150,402-1706149-0949104,Central,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB
RM-19675,407-1672316-3245939,South,TEC-PH-10003273,Technology,Phones,AT&T TR1909W
RM-19675,405-1832646-7988329,South,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile)
RM-19675,408-9692204-9817146,South,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard
SK-19990,402-9339129-6219537,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets
FM-14290,405-3036350-8089120,West,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card
AM-10360,404-6680046-0839536,Central,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
AM-10360,406-2966654-4672325,Central,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes
MP-17470,403-4845285-4565113,East,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors"
MP-17470,171-4496851-5319548,East,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink
MP-17470,408-3416118-1167564,East,OFF-PA-10000061,Office Supplies,Paper,Xerox 205
MP-17470,406-1590113-9193914,East,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors"
MP-17470,404-0363929-8015528,East,OFF-AR-10003514,Office Supplies,Art,4009 Highlighters by Sanford
MZ-17515,407-7173744-5333154,West,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
CB-12025,405-6880044-2861120,East,OFF-AR-10004685,Office Supplies,Art,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set"
CB-12025,403-4337144-0984323,East,OFF-AR-10004027,Office Supplies,Art,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box"
VM-21685,171-1851948-5476361,East,OFF-ST-10001414,Office Supplies,Storage,Decoflex Hanging Personal Folder File
FH-14365,171-5810429-4493110,East,OFF-BI-10000343,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
FH-14365,171-1068229-1581965,East,OFF-PA-10002749,Office Supplies,Paper,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page"
MB-17305,402-2105140-3584364,East,OFF-PA-10002666,Office Supplies,Paper,Southworth 25% Cotton Linen-Finish Paper & Envelopes
BS-11755,403-3561336-3563535,West,FUR-TA-10004289,Furniture,Tables,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables
BS-11755,402-9532672-5385917,West,OFF-AP-10003622,Office Supplies,Appliances,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack"
LC-17140,408-4547464-4180323,Central,OFF-AP-10003217,Office Supplies,Appliances,Eureka Sanitaire  Commercial Upright
HK-14890,402-2211107-5096323,South,FUR-FU-10002960,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy"
LE-16810,403-9412025-7537140,West,TEC-PH-10001918,Technology,Phones,Nortel Business Series Terminal T7208 Digital phone
JH-15985,403-5456917-5571511,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray"
JH-15985,171-8452330-4756317,Central,TEC-PH-10001700,Technology,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone
JH-15985,171-4350114-4299568,Central,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels"
JH-15985,405-8692900-3888310,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head"
JH-15985,402-6750101-3923558,Central,OFF-ST-10001522,Office Supplies,Storage,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h"
MS-17980,403-5725327-6264327,Central,TEC-AC-10001266,Technology,Accessories,Memorex Micro Travel Drive 8 GB
VW-21775,403-5209693-1173944,East,OFF-LA-10004544,Office Supplies,Labels,Avery 505
VW-21775,403-8255889-7526765,East,FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine
VW-21775,407-3554912-7244363,East,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case
VW-21775,407-4737202-9096304,East,TEC-MA-10000864,Technology,Machines,Cisco 9971 IP Video Phone Charcoal
VW-21775,171-2842936-5423534,East,TEC-AC-10000109,Technology,Accessories,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive
JH-15910,407-4936046-5852304,West,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray"
JH-15910,402-9580874-3525948,West,TEC-PH-10002563,Technology,Phones,Adtran 1202752G1
JB-15925,404-7426070-1355530,East,OFF-FA-10000585,Office Supplies,Fasteners,OIC Bulk Pack Metal Binder Clips
JB-15925,406-4878137-1126707,East,OFF-PA-10004000,Office Supplies,Paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle"
